Fragment	F.Area	Region.Label	Area	Sample.Label	Effort 	Size	sightdist	sightangle
Sangasanga	987400	2014	0	SS2.14	3500	0	0	0
Sangasanga	987400	2014	0	SS3.14	4000	2	8	43
Sangasanga	987400	2014	0	SS3.14	4000	2	10	55
Sangasanga	987400	2014	0	SS3.14	4000	3	15	10
Sangasanga	987400	2014	0	SS4.14	4000	2	8	34
Tsitola	10971000	2014	0	TT1.14	4000	0	0	0
Tsitola	10971000	2014	0	TT2.14	4000	0	0	0
Tsitola	10971000	2014	0	TT4.14	4500	1	5	45
Tsitola	10971000	2014	0	TT5.14	3000	0	0	0
Tsitola	10971000	2014	0	TT6.14	4000	0	0	0
Tsitola	10971000	2014	0	TT7.14	3500	0	0	0
Tsitola	10971000	2014	0	TT8.14	3500	0	0	0
Tsitola	10971000	2014	0	TT9.14	4000	0	0	0
Tsiazombazaha	813700	2014	0	TZ1.14	2000	0	0	0
Tsiazombazaha	813700	2014	0	TZ2.14	2000	0	0	0
Tsiazombazaha	813700	2014	0	TZ3.14	2000	0	0	0
Vatovavy	3533900	2014	0	VV1.14	4000	0	0	0
Vatovavy	3533900	2014	0	VV10.14	4000	0	0	0
Vatovavy	3533900	2014	0	VV15.14	4000	1	4	80
Vatovavy	3533900	2014	0	VV17.14	3500	2	8	70
Vatovavy	3533900	2014	0	VV2.14	4000	1	6	80
Vatovavy	3533900	2014	0	VV2.14	4000	1	7	80
Vatovavy	3533900	2014	0	VV5.14	3500	2	5	90
Vatovavy	3533900	2014	0	VV7.14	3500	0	0	0
Vatovavy	3533900	2014	0	VV8.14	3500	0	0	0
Sangasanga	987400	2015	0	SS2.15	2500	1	4	40
Sangasanga	987400	2015	0	SS3.15	3000	1	5	90
Sangasanga	987400	2015	0	SS3.15	3000	1	8	38
Sangasanga	987400	2015	0	SS3.15	3000	1	5	84
Sangasanga	987400	2015	0	SS4.15	3000	1	2	78
Sangasanga	987400	2015	0	SS4.15	3000	2	4	76
Sangasanga	987400	2015	0	SS4.15	3000	1	3	44
Tsitola	10971000	2015	0	TT1.15	3000	1	7	63
Tsitola	10971000	2015	0	TT2.15	3000	2	2	47
Tsitola	10971000	2015	0	TT2.15	3000	2	5	40
Tsitola	10971000	2015	0	TT2.15	3000	1	12	2
Tsitola	10971000	2015	0	TT2.15	3000	1	2	46
Tsitola	10971000	2015	0	TT2.15	3000	1	2	34
Tsitola	10971000	2015	0	TT2.15	3000	1	8	8
Tsitola	10971000	2015	0	TT2.15	3000	1	3	18
Tsitola	10971000	2015	0	TT2.15	3000	1	9	6
Tsitola	10971000	2015	0	TT2.15	3000	1	9	80
Tsitola	10971000	2015	0	TT2.15	3000	1	6	66
Tsitola	10971000	2015	0	TT2.15	3000	1	4	8
Tsitola	10971000	2015	0	TT2.15	3000	1	3.5	26
Tsitola	10971000	2015	0	TT2.15	3000	1	3	74
Tsitola	10971000	2015	0	TT4.15	3500	1	7	24
Tsitola	10971000	2015	0	TT5.15	2000	1	7	42
Tsitola	10971000	2015	0	TT6.15	3000	1	11	88
Tsitola	10971000	2015	0	TT7.15	2500	1	5	40
Tsitola	10971000	2015	0	TT7.15	2500	1	6	86
Tsitola	10971000	2015	0	TT8.15	2500	1	13	50
Tsitola	10971000	2015	0	TT8.15	2500	1	3	56
Tsitola	10971000	2015	0	TT8.15	2500	1	8	72
Tsitola	10971000	2015	0	TT9.15	3000	1	5	64
Tsiazombazaha	813700	2015	0	TZ1.15	2000	1	7	86
Tsiazombazaha	813700	2015	0	TZ1.15	2000	1	5	22
