Site	S.Area	Sample.Label	Effort	Size	sightdist	sightangle	Forest	F.Area	Region.Label	Area
Kianjavato	1634.6	SS2.14	3500	0	0	0	Sangasanga	98.74	2014	0
Kianjavato	1632.6	SS3.14	4000	1	11	46	Sangasanga	98.74	2014	0
Kianjavato	1635.6	SS4.14	4000	0	0	0	Sangasanga	98.74	2014	0
Kianjavato	1636.6	TT1.14	4000	0	0	0	Tsitola	1097.1	2014	0
Kianjavato	1637.6	TT2.14	4000	0	0	0	Tsitola	1097.1	2014	0
Kianjavato	1638.6	TT4.14	4500	0	0	0	Tsitola	1097.1	2014	0
Kianjavato	1630.6	TT5.14	3000	1	2	66	Tsitola	1097.1	2014	0
Kianjavato	1633.6	TT5.14	3000	3	4	78	Tsitola	1097.1	2014	0
Kianjavato	1639.6	TT6.14	4000	0	0	0	Tsitola	1097.1	2014	0
Kianjavato	1640.6	TT7.14	3500	0	0	0	Tsitola	1097.1	2014	0
Kianjavato	1641.6	TT8.14	3500	0	0	0	Tsitola	1097.1	2014	0
Kianjavato	1642.6	TT9.14	4000	0	0	0	Tsitola	1097.1	2014	0
Kianjavato	1650.6	TZ1.14	2000	0	0	0	Tsiazombazaha	81.37	2014	0
Kianjavato	1651.6	TZ2.14	2000	0	0	0	Tsiazombazaha	81.37	2014	0
Kianjavato	1652.6	TZ3.14	2000	0	0	0	Tsiazombazaha	81.37	2014	0
Kianjavato	1643.6	VV1.14	4000	0	0	0	Vatovavy	353.39	2014	0
Kianjavato	1647.6	VV10.14	4000	0	0	0	Vatovavy	353.39	2014	0
Kianjavato	1648.6	VV15.14	4000	0	0	0	Vatovavy	353.39	2014	0
Kianjavato	1649.6	VV17.14	3500	0	0	0	Vatovavy	353.39	2014	0
Kianjavato	1644.6	VV2.14	4000	0	0	0	Vatovavy	353.39	2014	0
Kianjavato	1631.6	VV5.14	3500	2	8	50	Vatovavy	353.39	2014	0
Kianjavato	1645.6	VV7.14	3500	0	0	0	Vatovavy	353.39	2014	0
Kianjavato	1646.6	VV8.14	3500	0	0	0	Vatovavy	353.39	2014	0
Kianjavato	1630.6	SS2.15	2500	1	18	14	Sangasanga	98.74	2015	0
Kianjavato	1631.6	SS3.15	3000	0	0	0	Sangasanga	98.74	2015	0
Kianjavato	1630.6	SS4.15	3000	3	6	59	Sangasanga	98.74	2015	0
Kianjavato	1630.6	TT1.15	3000	2	10	20	Tsitola	1097.1	2015	0
Kianjavato	1632.6	TT2.15	3000	0	0	0	Tsitola	1097.1	2015	0
Kianjavato	1630.6	TT4.15	3500	1	6	20	Tsitola	1097.1	2015	0
Kianjavato	1630.6	TT5.15	2000	3	4	70	Tsitola	1097.1	2015	0
Kianjavato	1630.6	TT6.15	3000	1	3	68	Tsitola	1097.1	2015	0
Kianjavato	1633.6	TT7.15	2500	0	0	0	Tsitola	1097.1	2015	0
Kianjavato	1630.6	TT8.15	2500	1	12	74	Tsitola	1097.1	2015	0
Kianjavato	1630.6	TT9.15	3000	2	6	70	Tsitola	1097.1	2015	0
Kianjavato	1630.6	TT9.15	3000	1	15	108	Tsitola	1097.1	2015	0
Kianjavato	1630.6	TZ1.15	2000	2	9	24	Tsiazombazaha	81.37	2015	0
Kianjavato	1630.6	TZ1.15	2000	3	12	88	Tsiazombazaha	81.37	2015	0
Kianjavato	1630.6	TZ2.15	1500	1	4	82	Tsiazombazaha	81.37	2015	0
Kianjavato	1630.6	TZ2.15	1500	1	2	60	Tsiazombazaha	81.37	2015	0
Kianjavato	1630.6	TZ2.15	1500	1	3	50	Tsiazombazaha	81.37	2015	0
Kianjavato	1640.6	TZ3.15	1000	0	0	0	Tsiazombazaha	81.37	2015	0
Kianjavato	1634.6	VV1.15	3000	0	0	0	Vatovavy	353.39	2015	0
Kianjavato	1630.6	VV10.15	3500	1	12	80	Vatovavy	353.39	2015	0
Kianjavato	1638.6	VV15.15	3500	0	0	0	Vatovavy	353.39	2015	0
Kianjavato	1639.6	VV17.15	3000	0	0	0	Vatovavy	353.39	2015	0
Kianjavato	1635.6	VV2.15	3000	0	0	0	Vatovavy	353.39	2015	0
Kianjavato	1637.6	VV5.15	2500	0	0	0	Vatovavy	353.39	2015	0
Kianjavato	1636.6	VV7.15	2500	0	0	0	Vatovavy	353.39	2015	0
Kianjavato	1630.6	VV8.15	3000	2	13	90	Vatovavy	353.39	2015	0
Kianjavato	1630.6	VV8.15	3000	1	6	11	Vatovavy	353.39	2015	0
Kianjavato	1630.6	VV8.15	3000	1	8	68	Vatovavy	353.39	2015	0
Kianjavato	1648.6	SS2.16	2500	2	6	8	Sangasanga	98.74	2016	0
Kianjavato	1652.6	SS3.16	2500	0	0	0	Sangasanga	98.74	2016	0
Kianjavato	1653.6	SS4.16	2500	0	0	0	Sangasanga	98.74	2016	0
Kianjavato	1654.6	TT1.16	2500	0	0	0	Tsitola	1097.1	2016	0
Kianjavato	1655.6	TT2.16	2500	0	0	0	Tsitola	1097.1	2016	0
Kianjavato	1656.6	TT4.16	2500	0	0	0	Tsitola	1097.1	2016	0
Kianjavato	1645.6	TT5.16	2500	2	12	64	Tsitola	1097.1	2016	0
Kianjavato	1657.6	TT6.16	2500	0	0	0	Tsitola	1097.1	2016	0
Kianjavato	1658.6	TT7.16	2500	0	0	0	Tsitola	1097.1	2016	0
Kianjavato	1646.6	TT8.16	2500	2	5	48	Tsitola	1097.1	2016	0
Kianjavato	1647.6	TT8.16	2500	2	3	68	Tsitola	1097.1	2016	0
Kianjavato	1650.6	TT9.16	2500	1	6	78	Tsitola	1097.1	2016	0
Kianjavato	1649.6	TZ1.16	2500	2	25	68	Tsiazombazaha	81.37	2016	0
Kianjavato	1665.6	TZ2.16	2500	0	0	0	Tsiazombazaha	81.37	2016	0
Kianjavato	1642.6	TZ3.16	1500	3	5	76	Tsiazombazaha	81.37	2016	0
Kianjavato	1651.6	TZ3.16	1500	1	7	46	Tsiazombazaha	81.37	2016	0
Kianjavato	1659.6	VV1.16	2500	0	0	0	Vatovavy	353.39	2016	0
Kianjavato	1663.6	VV10.16	2500	0	0	0	Vatovavy	353.39	2016	0
Kianjavato	1643.6	VV15.16	2500	1	7	50	Vatovavy	353.39	2016	0
Kianjavato	1644.6	VV15.16	2500	1	10	90	Vatovavy	353.39	2016	0
Kianjavato	1664.6	VV17.16	2500	0	0	0	Vatovavy	353.39	2016	0
Kianjavato	1660.6	VV2.16	2500	0	0	0	Vatovavy	353.39	2016	0
Kianjavato	1661.6	VV5.16	2000	0	0	0	Vatovavy	353.39	2016	0
Kianjavato	1662.6	VV7.16	2500	0	0	0	Vatovavy	353.39	2016	0
Kianjavato	1641.6	VV8.16	2500	1	7	20	Vatovavy	353.39	2016	0
