Fragment	Region.Label	Area	Sample.Label	Effort 	Size	sightdist	sightangle											
Sangasanga	2014	0	SS2.14	3500	0	0	0											
Tsitola	2014	0	TT1.14	4000	0	0	0											
Tsitola	2014	0	TT4.14	4500	0	0	0											
Tsitola	2014	0	TT5.14	3000	0	0	0											
Tsitola	2014	0	TT6.14	4000	0	0	0											
Tsitola	2014	0	TT7.14	3500	0	0	0											
Tsitola	2014	0	TT8.14	3500	0	0	0											
Tsitola	2014	0	TT9.14	4000	0	0	0											
Tsiazombazaha	2014	0	TZ1.14	2000	0	0	0											
Tsiazombazaha	2014	0	TZ2.14	2000	0	0	0											
Tsiazombazaha	2014	0	TZ3.14	2000	0	0	0											
Vatovavy	2014	0	VV1.14	4000	0	0	0											
Vatovavy	2014	0	VV10.14	4000	0	0	0											
Vatovavy	2014	0	VV15.14	4000	0	0	0											
Vatovavy	2014	0	VV17.14	3500	0	0	0											
Vatovavy	2014	0	VV2.14	4000	0	0	0											
Vatovavy	2014	0	VV7.14	3500	0	0	0											
Vatovavy	2014	0	VV8.14	3500	0	0	0											
Sangasanga	2014	0	SS4.14	4000	1	3	28											
Sangasanga	2014	0	SS4.14	4000	2	5	89											
Vatovavy	2014	0	VV5.14	3500	1	8	86											
Tsitola	2014	0	TT2.14	4000	1	10	70											
Sangasanga	2014	0	SS3.14	4000	3	11	65											
Sangasanga	2014	0	SS4.14	4000	1	13	18											
Sangasanga	2015	0	SS2.15	2500	0	0	0											
Sangasanga	2015	0	SS3.15	3000	1	8	21											
Sangasanga	2015	0	SS3.15	3000	1	4	20											
Sangasanga	2015	0	SS4.15	3000	1	11.5	36											
Tsitola	2015	0	TT1.15	3000	0	0	0											
Tsitola	2015	0	TT2.15	3000	0	0	0											
Tsitola	2015	0	TT4.15	3500	1	4	47											
Tsitola	2015	0	TT5.15	2000	0	0	0											
Tsitola	2015	0	TT6.15	3000	0	0	0											
Tsitola	2015	0	TT7.15	2500	0	0	0											
Tsitola	2015	0	TT8.15	2500	0	0	0											
Tsitola	2015	0	TT9.15	3000	0	0	0											
Tsiazombazaha	2015	0	TZ1.15	2000	0	0	0											
Tsiazombazaha	2015	0	TZ2.15	1500	0	0	0											
Tsiazombazaha	2015	0	TZ3.16	1000	0	0	0											
Vatovavy	2015	0	VV1.15	3000	0	0	0											
Vatovavy	2015	0	VV10.15	3500	0	0	0											
Vatovavy	2015	0	VV15.15	3500	0	0	0											
Vatovavy	2015	0	VV17.15	3000	0	0	0											
Vatovavy	2015	0	VV2.15	3000	0	0	0											
Vatovavy	2015	0	VV5.15	2500	0	0	0											
Vatovavy	2015	0	VV7.15	2500	0	0	0											
Vatovavy	2015	0	VV8.15	3000	0	0	0											
Sangasanga	2016	0	SS2.16	2500	0	0	0											
Sangasanga	2016	0	SS3.16	2500	2	14	62											
Sangasanga	2016	0	SS3.16	2500	1	15	12											
Sangasanga	2016	0	SS3.16	2500	2	12	88											
Sangasanga	2016	0	SS3.16	2500	1	11	38											
Sangasanga	2016	0	SS3.16	2500	2	12	72											
Sangasanga	2016	0	SS3.16	2500	1	11	72											
Sangasanga	2016	0	SS3.16	2500	2	10	58											
Sangasanga	2016	0	SS3.16	2500	1	10	2											
Sangasanga	2016	0	SS3.16	2500	1	11	28											
Sangasanga	2016	0	SS3.16	2500	1	8	48											
Sangasanga	2016	0	SS4.16	2500	1	25	54											
Sangasanga	2016	0	SS4.16	2500	1	9	14											
Sangasanga	2016	0	SS4.16	2500	1	8	78											
Sangasanga	2016	0	SS4.16	2500	1	20	62											
Sangasanga	2016	0	SS4.16	2500	1	10	32											
Tsitola	2016	0	TT1.16	2500	0	0	0											
Tsitola	2016	0	TT2.16	2500	1	5	68											
Tsitola	2016	0	TT2.16	2500	2	5	8											
Tsitola	2016	0	TT4.16	2500	1	11	36											
Tsitola	2016	0	TT5.16	2500	0	0	0											
Tsitola	2016	0	TT6.16	2500	2	10	42											
Tsitola	2016	0	TT7.16	2500	0	0	0											
Tsitola	2016	0	TT8.16	2500	0	0	0											
Tsitola	2016	0	TT9.16	2500	0	0	0											
Tsiazombazaha	2016	0	TZ1.16	2500	0	0	0											
Tsiazombazaha	2016	0	TZ2.16	2500	0	0	0											
Tsiazombazaha	2016	0	TZ3.16	1500	0	0	0											
Vatovavy	2016	0	VV1.16	2500	0	0	0											
Vatovavy	2016	0	VV10.16	2500	0	0	0											
Vatovavy	2016	0	VV15.16	2500	0	0	0											
Vatovavy	2016	0	VV17.16	2500	0	0	0											
Vatovavy	2016	0	VV2.16	2500	0	0	0											
Vatovavy	2016	0	VV5.16	2000	0	0	0											
Vatovavy	2016	0	VV7.16	2500	0	0	0											
Vatovavy	2016	0	VV8.16	2500	0	0	0											
