Region.Label	Area	Sample.Label	Effort 	Size	sightdist	sightangle
Vatovavy	3533900	VV1	12500	3	10	0
Vatovavy	3533900	VV15	13000	4	15	28
Vatovavy	3533900	VV15	13000	6	8	56
Sangasanga	987400	SS3	4500	8	6	102
Vatovavy	3533900	VV2	12500	4	14	70
Sangasanga	987400	SS3	4500	5	9	90
Vatovavy	3533900	VV2	12500	4	15	0
Vatovavy	3533900	VV2	12500	3	1	0
Vatovavy	3533900	VV2	12500	3	10	0
Vatovavy	3533900	VV5	12000	7	12	62
Vatovavy	3533900	VV5	12000	5	15	31
Vatovavy	3533900	VV5	12000	4	8	0
Vatovavy	3533900	VV8	12500	6	14	0
Sangasanga	987400	SS4	4500	9	14	84
Vatovavy	3533900	VV8	12500	2	14	70
Vatovavy	3533900	VV8	12500	7	5	10
Sangasanga	987400	SS3	4500	5	10	12
Vatovavy	3533900	VV8	12500	4	10	0
Vatovavy	3533900	VV8	12500	5	10	0
Vatovavy	3533900	VV8	12500	6	10	0
Sangasanga	987400	SS2	4500	0	0	0
Karakandatra	2799100	KK1	4000	0	0	0
Karakandatra	2799100	KK2	4000	0	0	0
Karakandatra	2799100	KK3	3500	0	0	0
Karakandatra	2799100	KK4	4000	0	0	0
Karakandatra	2799100	KK5	3500	0	0	0
Karakandatra	2799100	KK6	2500	0	0	0
Karakandatra	2799100	KK7	3500	0	0	0
Karakandatra	2799100	KK8	3000	0	0	0
Karakandatra	2799100	KK9	2500	0	0	0
Karakandatra	2799100	KK11	2500	0	0	0
Tsitola	10971000	TT1	5500	0	0	0
Tsitola	10971000	TT2	5500	0	0	0
Tsitola	10971000	TT4	2500	0	0	0
Tsitola	10971000	TT5	4000	0	0	0
Tsitola	10971000	TT6	2500	0	0	0
Tsitola	10971000	TT7	4000	0	0	0
Tsitola	10971000	TT8	2500	0	0	0
Tsitola	10971000	TT9	3000	0	0	0
Tsitola	10971000	TT11	2500	0	0	0
Tsitola	10971000	TT12	2500	0	0	0
Tsitola	10971000	TT13	2000	0	0	0
Tsiazombazaha	813700	TZ1	4000	0	0	0
Tsiazombazaha	813700	TZ2	4000	0	0	0
Tsiazombazaha	813700	TZ3	4000	0	0	0
Vatovavy	3533900	VV7	11500	0	0	0
Vatovavy	3533900	VV10	12500	0	0	0
Vatovavy	3533900	VV14	12500	0	0	0
