Fragment	F.Area	Region.Label	Area	Sample.Label	Effort	Size	distance	year
Vatovavy	353.39	Kianjavato	0	VV10.14	5000	0	0	2014
Vatovavy	353.39	Kianjavato	0	VV14.14	5000	0	0	2014
Karakandatra	279.91	Kianjavato	0	KK1.14	5500	0	0	2014
Tsitola	1097.1	Kianjavato	0	TT13.14	5000	0	0	2014
Karakandatra	279.91	Kianjavato	0	KK11.14	5500	0	0	2014
Karakandatra	279.91	Kianjavato	0	KK2.14	5500	0	0	2014
Karakandatra	279.91	Kianjavato	0	KK3.14	5500	0	0	2014
Karakandatra	279.91	Kianjavato	0	KK5.14	4500	0	0	2014
Karakandatra	279.91	Kianjavato	0	KK6.14	4000	0	0	2014
Karakandatra	279.91	Kianjavato	0	KK7.14	4500	0	0	2014
Tsitola	1097.1	Kianjavato	0	TT7.14	4000	0	0	2014
Tsitola	1097.1	Kianjavato	0	TT8.14	4000	0	0	2014
Tsitola	1097.1	Kianjavato	0	TT9.14	4000	0	0	2014
Vatovavy	353.39	Kianjavato	0	VV7.14	5500	0	0	2014
Tsiazombazaha	81.37	Kianjavato	0	TZ1.14	5500	0	0	2014
Tsiazombazaha	81.37	Kianjavato	0	TZ2.14	5000	0	0	2014
Tsiazombazaha	81.37	Kianjavato	0	TZ3.14	5500	0	0	2014
Karakandatra	279.91	Kianjavato	0	KK9.14	4000	0	0	2014
Vatovavy	353.39	Kianjavato	0	VV2.14	6000	1	3.420201433	2014
Sangasanga	98.74	Kianjavato	0	SS4.14	6000	1	4.788282007	2014
Sangasanga	98.74	Kianjavato	0	SS4.14	6000	2	1.797588093	2014
Sangasanga	98.74	Kianjavato	0	SS4.14	6000	2	0.64278761	2014
Vatovavy	353.39	Kianjavato	0	VV15.14	5000	3	6.137196055	2014
Tsitola	1097.1	Kianjavato	0	TT11.14	5000	3	6.63230058	2014
Vatovavy	353.39	Kianjavato	0	VV2.14	6000	3	4.822082615	2014
Sangasanga	98.74	Kianjavato	0	SS3.14	6000	3	2.440419858	2014
Tsitola	1097.1	Kianjavato	0	TT4.14	4500	3	1.462432121	2014
Vatovavy	353.39	Kianjavato	0	VV5.14	6000	3	4.5	2014
Karakandatra	279.91	Kianjavato	0	KK4.14	4500	3	9.811224543	2014
Karakandatra	279.91	Kianjavato	0	KK8.14	5500	3	6.092255142	2014
Karakandatra	279.91	Kianjavato	0	KK8.14	5500	3	2.999543085	2014
Vatovavy	353.39	Kianjavato	0	VV8.14	5500	3	6.427876097	2014
Sangasanga	98.74	Kianjavato	0	SS3.14	6000	4	8.290375726	2014
Sangasanga	98.74	Kianjavato	0	SS3.14	6000	4	7.5	2014
Tsitola	1097.1	Kianjavato	0	TT1.14	5000	4	7.76236581	2014
Sangasanga	98.74	Kianjavato	0	SS3.14	6000	4	13.38261213	2014
Tsitola	1097.1	Kianjavato	0	TT2.14	5000	4	12.80250079	2014
Tsitola	1097.1	Kianjavato	0	TT5.14	5500	4	5.638155725	2014
Tsitola	1097.1	Kianjavato	0	TT5.14	5500	4	0.278346202	2014
Tsitola	1097.1	Kianjavato	0	TT6.14	4500	4	1.08927807	2014
Tsitola	1097.1	Kianjavato	0	TT6.14	4500	4	17.30271053	2014
Sangasanga	98.74	Kianjavato	0	SS3.14	6000	5	6.990406743	2014
Sangasanga	98.74	Kianjavato	0	SS3.14	6000	5	10.67325299	2014
Tsitola	1097.1	Kianjavato	0	TT2.14	5000	5	5	2014
Vatovavy	353.39	Kianjavato	0	VV5.14	6000	5	13.38261213	2014
Tsitola	1097.1	Kianjavato	0	TT1.14	5000	6	9.351417404	2014
Tsitola	1097.1	Kianjavato	0	TT1.14	5000	6	6.709364544	2014
Sangasanga	98.74	Kianjavato	0	SS3.14	6000	6	0.487477374	2014
Sangasanga	98.74	Kianjavato	0	SS3.14	6000	6	10.23895182	2014
Vatovavy	353.39	Kianjavato	0	VV5.14	6000	6	9.396926208	2014
Vatovavy	353.39	Kianjavato	0	VV5.14	6000	6	16.96096192	2014
Tsitola	1097.1	Kianjavato	0	TT2.14	5000	6	5.633658753	2014
Vatovavy	353.39	Kianjavato	0	VV8.14	5500	6	6.847033205	2014
Vatovavy	353.39	Kianjavato	0	VV2.14	6000	7	3.5	2014
Tsitola	1097.1	Kianjavato	0	TT12.14	5000	7	7.517540966	2014
Sangasanga	98.74	Kianjavato	0	SS3.14	6000	8	17.60665681	2014
Vatovavy	353.39	Kianjavato	0	VV5.14	6000	9	0.872487418	2014
Vatovavy	353.39	Kianjavato	0	VV8.14	5500	10	2.571150439	2014
Vatovavy	353.39	Kianjavato	0	VV1.14	6000	0	0	2014
Sangasanga	98.74	Kianjavato	0	SS2..14	6000	0	0	2014
Karakandatra	279.91	Kianjavato	0	KK7.15	6000	1	5.829111907	2015
