Region.Label2	Area2	Sample.Label	Effort 	Size	sightdist	sightangle	year	Region.Label	Area	Area.z
Vatovavy	353.39	VV10.14	5000	0	0	0	2014	Kianjavato	1910.51	0
Vatovavy	353.39	VV14.14	5000	0	0	0	2014	Kianjavato	1910.51	0
Karakandatra	279.91	KK1.14	5500	0	0	0	2014	Kianjavato	1910.51	0
Tsitola	1097.1	TT13.14	5000	0	0	0	2014	Kianjavato	1910.51	0
Karakandatra	279.91	KK11.14	5500	0	0	0	2014	Kianjavato	1910.51	0
Karakandatra	279.91	KK2.14	5500	0	0	0	2014	Kianjavato	1910.51	0
Karakandatra	279.91	KK3.14	5500	0	0	0	2014	Kianjavato	1910.51	0
Karakandatra	279.91	KK5.14	4500	0	0	0	2014	Kianjavato	1910.51	0
Karakandatra	279.91	KK6.14	4000	0	0	0	2014	Kianjavato	1910.51	0
Karakandatra	279.91	KK7.14	4500	0	0	0	2014	Kianjavato	1910.51	0
Tsitola	1097.1	TT7.14	4000	0	0	0	2014	Kianjavato	1910.51	0
Tsitola	1097.1	TT8.14	4000	0	0	0	2014	Kianjavato	1910.51	0
Tsitola	1097.1	TT9.14	4000	0	0	0	2014	Kianjavato	1910.51	0
Vatovavy	353.39	VV7.14	5500	0	0	0	2014	Kianjavato	1910.51	0
Tsiazombazaha	81.37	TZ1.14	5500	0	0	0	2014	Kianjavato	1910.51	0
Tsiazombazaha	81.37	TZ2.14	5000	0	0	0	2014	Kianjavato	1910.51	0
Tsiazombazaha	81.37	TZ3.14	5500	0	0	0	2014	Kianjavato	1910.51	0
Karakandatra	279.91	KK9.14	4000	0	0	0	2014	Kianjavato	1910.51	0
Vatovavy	353.39	VV2.14	6000	1	10	20	2014	Kianjavato	1910.51	0
Sangasanga	98.74	SS4.14	6000	1	14	20	2014	Kianjavato	1910.51	0
Sangasanga	98.74	SS4.14	6000	2	2	64	2014	Kianjavato	1910.51	0
Sangasanga	98.74	SS4.14	6000	2	1	40	2014	Kianjavato	1910.51	0
Vatovavy	353.39	VV15.14	5000	3	14	26	2014	Kianjavato	1910.51	0
Tsitola	1097.1	TT11.14	5000	3	8	56	2014	Kianjavato	1910.51	0
Vatovavy	353.39	VV2.14	6000	3	11	26	2014	Kianjavato	1910.51	0
Sangasanga	98.74	SS3.14	6000	3	6	24	2014	Kianjavato	1910.51	0
Tsitola	1097.1	TT4.14	4500	3	12	7	2014	Kianjavato	1910.51	0
Vatovavy	353.39	VV5.14	6000	3	9	30	2014	Kianjavato	1910.51	0
Karakandatra	279.91	KK4.14	4500	3	13	49	2014	Kianjavato	1910.51	0
Karakandatra	279.91	KK8.14	5500	3	17	21	2014	Kianjavato	1910.51	0
Karakandatra	279.91	KK8.14	5500	3	3	89	2014	Kianjavato	1910.51	0
Vatovavy	353.39	VV8.14	5500	3	10	40	2014	Kianjavato	1910.51	0
