Region.Label	Area	Sample.Label	Effort	Size	sightdist	sightangle
Tsitola	10971000	TT4	7000	2	9	74
Tsitola	10971000	TT4	7000	1	6	77
Tsitola	10971000	TT6	7000	2	4	20
Karakandatra	2799100	KK1	6000	1	8	13
Karakandatra	2799100	KK2	6000	2	8	7
Sangasanga	987400	SS3	8500	3	9	76
Tsitola	10971000	TT5	8500	2	8	66
Karakandatra	2799100	KK1	6000	4	10	9
Karakandatra	2799100	KK1	6000	2	20	86
Sangasanga	987400	SS3	8500	3	28	82
Tsitola	10971000	TT7	8000	2	7	76
Tsitola	10971000	TT2	9000	2	7	89
Sangasanga	987400	SS3	8500	4	20	76
Sangasanga	987400	SS3	8500	3	14	63
Karakandatra	2799100	KK1	6000	1	11	43
Karakandatra	2799100	KK7	6000	3	5	73
Tsitola	10971000	TT7	8000	2	20	88
Vatovavy	3533900	VV2	12000	1	14	80
Vatovavy	3533900	VV2	12000	2	15	76
Tsitola	10971000	TT2	9000	2	12	70
Sangasanga	987400	SS3	8500	2	7	75
Tsitola	10971000	TT7	8000	3	7	62
Tsitola	10971000	TT1	8500	3	6	6
Sangasanga	987400	SS3	8500	2	7	20
Tsitola	10971000	TT4	7000	3	19	72
Karakandatra	2799100	KK1	6000	2	11	42
Tsitola	10971000	TT5	8500	3	2	9
Sangasanga	987400	SS3	8500	3	8	35
Tsitola	10971000	TT4	7000	2	28	89
Karakandatra	2799100	KK8	7500	1	6	73
Tsitola	10971000	TT1	8500	2	7	83
Sangasanga	987400	SS3	8500	3	9	10
Vatovavy	3533900	VV8	16500	1	20	90
Tsitola	10971000	TT4	7000	1	12	8
Sangasanga	987400	SS3	8500	2	6	82
Tsitola	10971000	TT7	8000	1	17	89
Sangasanga	987400	SS3	8500	5	12	68
Karakandatra	2799100	KK8	7500	4	12	65
Tsitola	10971000	TT5	8500	2	7	67
Vatovavy	3533900	VV8	16500	1	16	70
Sangasanga	987400	SS3	8500	3	7	75
Tsitola	10971000	TT11	7500	3	9	82
Karakandatra	2799100	KK1	6000	4	10	22
Tsitola	10971000	TT1	8500	1	5	38
Sangasanga	987400	SS3	8500	1	10	78
Karakandatra	2799100	KK1	6000	1	12	40
Vatovavy	3533900	VV8	16500	2	15	80
Tsitola	10971000	TT1	8500	1	8	33
Tsitola	10971000	TT4	7000	3	15	82
Karakandatra	2799100	KK2	6000	1	8	69
Vatovavy	3533900	VV8	16500	1	4	10
Sangasanga	987400	SS3	8500	3	7	5
Karakandatra	2799100	KK1	6000	1	6	46
Karakandatra	2799100	KK3	7000	0	0	0
Karakandatra	2799100	KK4	6000	0	0	0
Karakandatra	2799100	KK5	6000	0	0	0
Karakandatra	2799100	KK6	6000	0	0	0
Karakandatra	2799100	KK9	5500	0	0	0
Karakandatra	2799100	KK11	7000	0	0	0
Sangasanga	987400	SS2	8500	0	0	0
Sangasanga	987400	SS4	8500	0	0	0
Tsitola	10971000	TT8	7000	0	0	0
Tsitola	10971000	TT9	7000	0	0	0
Tsitola	10971000	TT12	7000	0	0	0
Tsitola	10971000	TT13	7000	0	0	0
Vatovavy	3533900	VV1	12000	0	0	0
Vatovavy	3533900	VV5	11500	0	0	0
Vatovavy	3533900	VV7	14000	0	0	0
Vatovavy	3533900	VV10	11000	0	0	0
Vatovavy	3533900	VV14	11000	0	0	0
Vatovavy	3533900	VV15	11000	0	0	0
Tsiazombazaha	813700	TZ1	6500	0	0	0
Tsiazombazaha	813700	TZ2	6500	0	0	0
Tsiazombazaha	813700	TZ3	6500	0	0	0
