Region.Label	Area	Sample.Label	Effort 	Size	sightdist	sightangle
Sangasanga	987400	SS3	5500	2	8	83
Sangasanga	987400	SS4	5500	5	5	36
Vatovavy	3533900	VV2	16500	2	9	42
Sangasanga	987400	SS3	5500	6	15	2
Vatovavy	3533900	VV8	16500	1	4	1
Vatovavy	3533900	VV8	16500	1	11	40
Sangasanga	987400	SS3	5500	2	7	40
Vatovavy	3533900	VV8	16500	3	9	1
Vatovavy	3533900	VV8	16500	1	11	30
Sangasanga	987400	SS3	5500	2	7	20
Sangasanga	987400	SS3	5500	1	11	43
Karakandatra	2799100	KK8	5000	2	10	1
Vatovavy	3533900	VV8	16500	1	7	40
Tsitola	10971000	TT6	4500	1	6	36
Sangasanga	987400	SS3	5500	4	9	83
Vatovavy	3533900	VV5	16500	0	29	3
Sangasanga	987400	SS4	5500	4	8	82
Vatovavy	3533900	VV14	16000	2	17	50
Tsitola	10971000	TT6	4500	3	24	82
Tsitola	10971000	TT2	5000	2	9	58
Karakandatra	2799100	KK2	5500	1	12	67
Vatovavy	3533900	VV8	16500	2	7	1
Tsitola	10971000	TT4	4000	2	28	44
Tsitola	10971000	TT4	4000	1	16	20
Vatovavy	3533900	VV1	16000	3	8	12
Tsitola	10971000	TT2	5000	3	10	66
Vatovavy	3533900	VV8	16500	4	8	1
Karakandatra	2799100	KK3	6000	0	0	0
Karakandatra	2799100	KK4	7000	0	0	0
Karakandatra	2799100	KK5	5500	0	0	0
Karakandatra	2799100	KK6	5000	0	0	0
Karakandatra	2799100	KK7	2500	0	0	0
Karakandatra	2799100	KK9	2500	0	0	0
Karakandatra	2799100	KK11	5500	0	0	0
Tsitola	10971000	TT1	5000	0	0	0
Tsitola	10971000	TT5	7000	0	0	0
Tsitola	10971000	TT7	7000	0	0	0
Tsitola	10971000	TT8	2500	0	0	0
Tsitola	10971000	TT9	4500	0	0	0
Tsitola	10971000	TT11	5500	0	0	0
Tsitola	10971000	TT12	5500	0	0	0
Tsitola	10971000	TT13	5000	0	0	0
Vatovavy	3533900	VV7	17000	0	0	0
Vatovavy	3533900	VV10	17000	0	0	0
Tsiazombazaha	813700	TZ1	3000	0	0	0
Tsiazombazaha	813700	TZ2	5000	0	0	0
Tsiazombazaha	813700	TZ3	5000	0	0	0
Sangasanga	987400	SS3	5500	4	16	68
Vatovavy	3533900	"VV15	"	16500	3	12	40
Karakandatra	2799100	KK1	4500	1	25	87
Karakandatra	2799100	KK1	4500	1	16	75
Sangasanga	987400	SS3	5500	1	20	88
Sangasanga	987400	SS3	5500	1	11	79
Sangasanga	987400	SS2	5500	2	14	31
Vatovavy	3533900	VV1	16000	3	12	70
Sangasanga	987400	SS3	5500	1	7	48
Vatovavy	3533900	VV8	16500	2	7	30
Tsitola	10971000	TT4	4000	2	22	62
Karakandatra	2799100	KK8	5000	2	100	51
Karakandatra	2799100	KK8	5000	2	30	89
