Region.Label	Area	Sample.Label	Effort	sightdist	sightangle	Size
Vatovavy	3533900	VV2	13500	10	50	2
Sangasanga	987400	SS3	8000	12	25	4
Karakandatra	2799100	KK1	4500	4	90	2
Sangasanga	987400	SS3	8000	6	50	2
Karakandatra	2799100	KK1	4500	3	84	1
Vatovavy	3533900	VV1	13500	10	45	1
Sangasanga	987400	SS3	8000	8	67	2
Sangasanga	987400	SS3	8000	11	7	3
Vatovavy	3533900	VV5	8500	6	62	2
Sangasanga	987400	SS3	8000	2	83	3
Vatovavy	3533900	VV1	13500	11	79	1
Sangasanga	987400	SS3	8000	1	88	3
Karakandatra	2799100	KK2	8000	0	0	0
Karakandatra	2799100	KK3	8500	0	0	0
Karakandatra	2799100	KK4	6000	0	0	0
Karakandatra	2799100	KK5	6500	0	0	0
Karakandatra	2799100	KK6	8500	0	0	0
Karakandatra	2799100	KK7	8000	0	0	0
Karakandatra	2799100	KK9	8000	0	0	0
Karakandatra	2799100	KK11	3000	0	0	0
Karakandatra	2799100	KK8	8000	0	0	0
Sangasanga	987400	SS2	8500	0	0	0
Sangasanga	987400	SS4	7500	0	0	0
Tsitola	10971000	TT1	7500	0	0	0
Tsitola	10971000	TT2	8500	0	0	0
Tsitola	10971000	TT4	6500	0	0	0
Tsitola	10971000	TT5	8000	0	0	0
Tsitola	10971000	TT6	6500	0	0	0
Tsitola	10971000	TT7	7500	0	0	0
Tsitola	10971000	TT8	7000	0	0	0
Tsitola	10971000	TT9	7500	0	0	0
Tsitola	10971000	TT11	8000	0	0	0
Tsitola	10971000	TT12	8000	0	0	0
Tsitola	10971000	TT13	8000	0	0	0
Vatovavy	3533900	VV7	14500	0	0	0
Vatovavy	3533900	VV8	14000	0	0	0
Vatovavy	3533900	VV10	13000	0	0	0
Vatovavy	3533900	VV14	13000	0	0	0
Vatovavy	3533900	VV15	13000	0	0	0
Tsiazombazaha	813700	TZ1	8500	0	0	0
Tsiazombazaha	813700	TZ2	8500	0	0	0
Tsiazombazaha	813700	TZ3	4500	0	0	0
